id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
549053,en,Last Christmas,34.687,7/11/2019,7.3,1642,"['Comedy', 'Romance', 'Drama']","Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom there, her life takes a new turn.",121550750,102,Who doesn't have a little Christmas baggage?
1262,en,Stranger Than Fiction,14.766,9/09/2006,7.3,1756,"['Comedy', 'Drama', 'Fantasy', 'Romance']",Harold Crick is a lonely IRS agent whose mundane existence is transformed when he hears a mysterious voice narrating his life.,53653224,113,Harold Crick isn't ready to go. Period.
318121,en,The Fundamentals of Caring,11.134,16/06/2016,7.3,1799,"['Comedy', 'Drama']","Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.",0,97,Caring is a funny thing.
587792,en,Palm Springs,23.123,10/07/2020,7.3,1858,"['Comedy', 'Romance']","When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated when they find themselves unable to escape the venue, themselves, or each other.",164000,90,Live like there's no tomorrow
10312,en,Patch Adams,17.353,25/12/1998,7.3,2577,"['Comedy', 'Drama']","The true story of Dr. Hunter ""Patch"" Adams, who in the 1970s found that humor is the best medicine, and was willing to do just anything to make his patients laughâ€”even if it meant risking his own career.",202292902,115,Laughter is contagious.
198277,en,Begin Again,22.774,7/09/2013,7.3,3096,"['Comedy', 'Music', 'Romance', 'Drama']","Gretta, a budding songwriter, finds herself alone after her boyfriend Dave ditches her. Her life gains purpose when Dan, a record label executive, notices her talent.",63464861,104,You're only as strong as your next move.
9603,en,Clueless,24.368,19/07/1995,7.3,3260,"['Comedy', 'Romance']","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",56631572,97,Sex. Clothes. Popularity. Is there a problem here?
813,en,Airplane!,21.31,2/07/1980,7.3,3303,['Comedy'],"The persons and events in this film are fictitious - fortunately! A masterpiece of off-the-wall comedy, Airplane! features Robert Hays as an ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning; Julie Hagerty as his girlfriend/stewardess/co-pilot; and a cast of all-stars including Robert Stack, Lloyd Bridges, Peter Graves, Leslie Nielsen, Kareem Abdul-Jabbar... and more. Their hilarious high jinks spoof airplane disaster flicks, religious zealots, television commercials, romantic love... the list whirls by in rapid succession. And the story races from one moment of zany fun to the next.",83453539,88,"What's slower than a speeding bullet, and able to hit two tall buildings at a single bound?"
114150,en,Pitch Perfect,37.711,28/09/2012,7.3,5582,"['Comedy', 'Music', 'Romance']","College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",115400000,112,Get pitch slapped.
594,en,The Terminal,25.723,17/06/2004,7.3,5996,"['Comedy', 'Drama']","Viktor Navorski is a man without a country; his plane took off just as a coup d'etat exploded in his homeland, leaving it in shambles, and now he's stranded at Kennedy Airport, where he's holding a passport that nobody recognizes. While quarantined in the transit lounge until authorities can figure out what to do with him, Viktor simply goes on living â€“ and courts romance with a beautiful flight attendant.",219417255,128,Life is waiting.
